[2025-04-14T05:50:27.209+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-06 (offset=0)
[2025-04-14T05:50:27.678+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-07 (offset=0)
[2025-04-14T05:50:28.069+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-08 (offset=0)
[2025-04-14T05:50:28.366+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-09 (offset=0)
[2025-04-14T05:50:28.752+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-10 (offset=0)
[2025-04-14T05:50:29.119+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-11 (offset=0)
[2025-04-14T05:50:29.506+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-12 (offset=0)
[2025-04-14T05:50:29.905+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-13 (offset=0)
[2025-04-14T05:50:30.297+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-14 (offset=0)
[2025-04-14T05:50:30.688+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-15 (offset=0)
[2025-04-14T05:50:31.017+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-16 (offset=0)
[2025-04-14T05:50:31.347+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-17 (offset=0)
[2025-04-14T05:50:31.746+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-18 (offset=0)
[2025-04-14T05:50:32.322+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-19 (offset=0)
[2025-04-14T05:50:32.755+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-20 (offset=0)
[2025-04-14T05:50:33.112+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-21 (offset=0)
[2025-04-14T05:50:33.511+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-22 (offset=0)
[2025-04-14T05:50:33.830+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-23 (offset=0)
[2025-04-14T05:50:34.133+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-24 (offset=0)
[2025-04-14T05:50:34.517+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-25 (offset=0)
[2025-04-14T05:50:34.927+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-26 (offset=0)
[2025-04-14T05:50:35.313+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-27 (offset=0)
[2025-04-14T05:50:35.711+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-28 (offset=0)
[2025-04-14T05:50:36.156+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-29 (offset=0)
[2025-04-14T05:50:36.481+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-30 (offset=0)
[2025-04-14T05:50:36.805+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-08-31 (offset=0)
[2025-04-14T05:50:37.197+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-01 (offset=0)
[2025-04-14T05:50:37.665+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-02 (offset=0)
[2025-04-14T05:50:38.048+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-03 (offset=0)
[2025-04-14T05:50:38.451+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-04 (offset=0)
[2025-04-14T05:50:38.832+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-05 (offset=0)
[2025-04-14T05:50:39.147+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-06 (offset=0)
[2025-04-14T05:50:39.493+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-07 (offset=0)
[2025-04-14T05:50:39.810+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-08 (offset=0)
[2025-04-14T05:50:40.235+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-09 (offset=0)
[2025-04-14T05:50:40.668+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-10 (offset=0)
[2025-04-14T05:50:41.073+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-11 (offset=0)
[2025-04-14T05:50:41.508+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-12 (offset=0)
[2025-04-14T05:50:41.842+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-13 (offset=0)
[2025-04-14T05:50:42.185+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-14 (offset=0)
